2.21.Key,00.02.Site Name,00.04.State,00.03.Region,TIPO,STATUS,Prioridade,TITULO,DATA ,OBS,
2021.002502,PEPE00 - UUUU01,AL,TNE,VALIDAÇÃO,FEITO,,PEPE00 - UUUU01 (2021.002502),5/5/2005,,
2023.002356,4G-PEAG94 - PEDV42,MG,TLE,VALIDAÇÃO,FEITO,,4G-PEAG94 - PEDV42 (2023.002356),5/5/2005,,
2022.003010,DMAR10 - JETI02,ES,TRJ,VALIDAÇÃO,FEITO,,DMAR10 - JETI02 (2022.003010),5/5/2005,,
2023.002425,4G-RAAG90 - RASMW01,GO,TCO,SAVING,FEITO,,4G-RAAG90 - RASMW01 (2023.002425),5/5/2005,,
2023.000113,4G-PPRSG0 - DOSMW01,MS,TCO,SAVING,FEITO,,4G-PPRSG0 - DOSMW01 (2023.000113),5/5/2005,,
2023.002390,4G-CAITI1 - 4G-AVOTI0,TO,TCO,SAVING,FEITO,,4G-CAITI1 - 4G-AVOTI0 (2023.002390),5/5/2005,,
2023.002391,4G-AVOTI2 - 4G-AVOTJ1,TO,TCO,SAVING,FEITO,,4G-AVOTI2 - 4G-AVOTJ1 (2023.002391),5/5/2005,,
2021.003099,SR-STTZJ0 - MEXMW01,PE,TNE,VALIDAÇÃO,FEITO,,SR-STTZJ0 - MEXMW01 (2021.003099),5/5/2005,,
2022.002769,SCSC01 - SCSC03,PE,TNE,VALIDAÇÃO,FEITO,,SCSC01 - SCSC03 (2022.002769),5/5/2005,,
2023.000426,PETR02 - PETR06,RJ,TRJ,VALIDAÇÃO, ,,PETR02 - PETR06 (2023.000426),5/5/2005,,
2022.001957,SKMS01 - SKCT01,SP,TSP,VALIDAÇÃO,FEITO,,SKMS01 - SKCT01 (2022.001957),5/5/2005,,
2022.002279,4G-SBRG80 - 4G-SBRG08,MG,TLE,VALIDAÇÃO,FEITO,,4G-SBRG80 - 4G-SBRG08 (2022.002279),5/5/2005,,
2021.005497,GMGM05 - GMGM06,RN,TNE,MODERNIZAÇÃO,sem doc,,GMGM05 - GMGM06 (2021.005497),5/5/2005,,
2022.003185,ANBH33 - TTBH34,MG,TLE,VALIDAÇÃO,FEITO,,ANBH33 - TTBH34 (2022.003185),7/7/2023,,
2022.003043,NSCT01 - MHRD01,SP,TSP,VALIDAÇÃO,FEITO,,NSCT01 - MHRD01 (2022.003043),7/7/2023,,
2023.002874,RVMI01 - 4G-YFBB91,SP,TSP,VALIDAÇÃO,FEITO,,RVMI01 - 4G-YFBB91 (2023.002874),7/10/2023,,
2021.001829,LRLR01 - ARAR05,AL,TNE,VALIDAÇÃO,FEITO,,LRLR01 - ARAR05 (2021.001829),7/10/2023,,
2021.003134,PPPP01 - PPPP03,PI,TNE,VALIDAÇÃO,FEITO,,PPPP01 - PPPP03 (2021.003134),7/10/2023,,
2023.002862,XING01 - XGAMW02,PA,TNO,VALIDAÇÃO,FEITO,,XING01 - XGAMW02 (2023.002862),7/11/2023,,
2023.002871,WMTM01 (46) - PR5164 (42),SP,TSP,VALIDAÇÃO,SUPORTE/ALTURAS,HIGH,WMTM01 (46) - PR5164 (42) (2023.002871),7/11/2023,"TEM QUE ESPERAR RESPOSTA DO CRIS, E MUDAR O CALCULO OU NÃO",
2022.001356,SR-GVGVA0 - GVGV00,PE,TNE,VALIDAÇÃO,FEITO,,SR-GVGVA0 - GVGV00 (2022.001356),7/11/2023,,
2022.003186,MNDT02 - FLCS00,CE,TN,VALIDAÇÃO,FEITO,,MNDT02 - FLCS00 (2022.003186),7/11/2023,,
2021.003040,4S-PRS009 - PR5139,PR,TSL,VALIDAÇÃO,FEITO,,4S-PRS009 - PR5139 (2021.003040),7/12/2023,,
2023.002719,CMDV13 - RP13,MG,TLE,VALIDAÇÃO,FEITO,,CMDV13 - RP13 (2023.002719),7/13/2023,,
2022.001380,4G-PIDE91 - 4G-SAEU91,MG,TLE,VALIDAÇÃO,FEITO,,4G-PIDE91 - 4G-SAEU91 (2022.001380),7/13/2023,,
2022.001966,4G-SACA91 - 4G-SAEU91,MG,TLE,VALIDAÇÃO,FEITO,,4G-SACA91 - 4G-SAEU91 (2022.001966),7/13/2023,40 - 42,
2023.003028,4G-INOSI4 - PNBMW01,MS,TCO,VALIDAÇÃO,FEITO,,4G-INOSI4 - PNBMW01 (2023.003028),7/14/2023,,
2023.003060,PNBMW01 - CLAMW01,MS,TCO,VALIDAÇÃO,FEITO,,PNBMW01 - CLAMW01 (2023.003060),7/14/2023,,
2023.003061,CLAMW01 - NLCLAS02,MS,TCO,VALIDAÇÃO,FEITO,,CLAMW01 - NLCLAS02 (2023.003061),7/14/2023,,
2022.000668,4G-MGS051 - OOCN01,MG,TLE,VALIDAÇÃO,FEITO,,4G-MGS051 - OOCN01 (2022.000668),7/17/2023,,
2022.000670,4G-MGS088 - SFIMW03,MG,TLE,VALIDAÇÃO,FEITO,,4G-MGS088 - SFIMW03 (2022.000670),7/17/2023,,
2023.003020,4G-PNBSI3 - 4G-PNBSI4,MS,TCO,VALIDAÇÃO,FEITO,,4G-PNBSI3 - 4G-PNBSI4 (2023.003020),7/17/2023,,
2023.003017,4G-ATDSI2 - 4G-PNBSI6,MS,TCO,VALIDAÇÃO,FEITO,,4G-ATDSI2 - 4G-PNBSI6 (2023.003017),7/17/2023,,
2023.003018,4G-PNBSI6 - 7NLPNBS01,MS,TCO,VALIDAÇÃO,FEITO,,4G-PNBSI6 - 7NLPNBS01 (2023.003018),7/17/2023,,
2023.003026,4G-SWYSI4 - 4G-TLSSI0,MS,TCO,VALIDAÇÃO,FEITO,,4G-SWYSI4 - 4G-TLSSI0 (2023.003026),7/18/2023,,
2023.003021,4G-PNBSI4 - PNBMW02,MS,TCO,VALIDAÇÃO,FEITO,,4G-PNBSI4 - PNBMW02 (2023.003021),7/18/2023,,
2023.003058,PNBMW02 - 7NLPNBS01,MS,TCO,MODERNIZAÇÃO,FEITO,,PNBMW02 - 7NLPNBS01 (2023.003058),7/18/2023,,
2023.003104,JUCT01 - JUMA01,SP,TSP,MODERNIZAÇÃO,FEITO,,JUCT01 - JUMA01 (2023.003104),7/19/2023,,
2023.003293,GDOR03 - CENR02,RS,TSL,MODERNIZAÇÃO,FEITO,,GDOR03 - CENR02 (2023.003293),7/19/2023,,
2023.003027,4G-TLSSI0 - 4G-TLSS04,MS,TCO,VALIDAÇÃO,FEITO,,4G-TLSSI0 - 4G-TLSS04 (2023.003027),7/19/2023,,
2023.003041,4G-ATDSI3 - NLSWYS01,MS,TCO,VALIDAÇÃO,FEITO,,4G-ATDSI3 - NLSWYS01 (2023.003041),7/19/2023,,
2023.003042,4G-ATDSI4 - NLSWYS01,MS,TCO,VALIDAÇÃO,FEITO,,4G-ATDSI4 - NLSWYS01 (2023.003042),7/19/2023,,
2023.000470,SR-ITAG17 - SR-ITAG10,RJ,TRJ,,FEITO,,SR-ITAG17 - SR-ITAG10 (2023.000470),7/20/2023,,
2022.003131,DVCE51 - PR5435,PR,TSL,,FEITO,,DVCE51 - PR5435 (2022.003131),7/20/2023,,
2023.000093,NLPDFT04 - 4G-PDFTG2,TO,TCO,,FEITO,,NLPDFT04 - 4G-PDFTG2 (2023.000093),7/20/2023,,
2022.000667,4G-MGS172 - RP74,MG,TLE,,FEITO,,4G-MGS172 - RP74 (2022.000667),7/20/2023,,
2023.003031,4G-INOSI1 - 4G-INOSI5,MS,TCO,NEW,FEITO,,4G-INOSI1 - 4G-INOSI5 (2023.003031),7/21/2023,,
2023.003039,4G-CLASI3 - 4G-CLASI4,MS,TCO,NEW,FEITO,,4G-CLASI3 - 4G-CLASI4 (2023.003039),7/21/2023,,
2023.003019,4G-PNBSI2 - 4G-PNBSI3,MS,TCO,NEW,FEITO,,4G-PNBSI2 - 4G-PNBSI3 (2023.003019),7/21/2023,,
2023.003036,4G-PNBSI0 - 4G-CLASI5,MS,TCO,NEW,FEITO,,4G-PNBSI0 - 4G-CLASI5 (2023.003036),7/21/2023,,
2023.001665,ES5824 - MILMW01,ES,TRJ,,FEITO,,ES5824 - MILMW01 (2023.001665),7/24/2023,"MUDAR ALTURAS 17 , 38",
2023.001646,PR4068 - SQOMW01,PR,TSL,,FEITO,,PR4068 - SQOMW01 (2023.001646),7/24/2023,"PONTA A  17,5",
2023.002866,SGBR01 - SGBR04,RS,TSL,NOVO,FEITO,,SGBR01 - SGBR04 (2023.002866),7/24/2023,"60, 44,5",
2023.002867,STOR01 - STOR02,RS,TSL,NOVO,FEITO,,STOR01 - STOR02 (2023.002867),7/24/2023,"61,  51",
2023.003292,CENR01 - CENR05,RS,TSL,MODERNIZAÇÃO,FEITO,,CENR01 - CENR05 (2023.003292),7/25/2023,"52,8 - 24",
2023.003294,CENR02 - CENR05,RS,TSL,MODERNIZAÇÃO,FEITO,,CENR02 - CENR05 (2023.003294),7/25/2023,31 - 32,
2022.003373,SMGO00 - TOTO00,RN,TNE,MODERNIZAÇÃO,FEITO,,SMGO00 - TOTO00 (2022.003373),7/25/2023,"49,2 - 50",
2022.000404,SEFS01 - SEVMW02,BA,TNE,MODERNIZAÇÃO,FEITO,,SEFS01 - SEVMW02 (2022.000404),7/25/2023,44 - 37,
2022.002634,4G-GVCA81 - MG3065,MG,TLE,VALIDAÇÃO,FEITO,,4G-GVCA81 - MG3065 (2022.002634),7/26/2023,30 - 31,
2023.003035,4G-PNBSI1 - 4G-PNBSI0,MS,TCO,NEW,FEITO,,4G-PNBSI1 - 4G-PNBSI0 (2023.003035),7/26/2023,,
2023.003053,4G-CLASI0 - 4G-CSF0I2,MS,TCO,NEW,FEITO,,4G-CLASI0 - 4G-CSF0I2 (2023.003053),7/26/2023,,
2023.003032,4G-INOSI5 - 4G-INOSI0,MS,TCO,NEW,FEITO,,4G-INOSI5 - 4G-INOSI0 (2023.003032),7/26/2023,,
2023.003034,4G-PNBSI5 - NLCLAS02,MS,TCO,NEW,FEITO,,4G-PNBSI5 - NLCLAS02 (2023.003034),7/26/2023,68 - 46,
